Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Reasons for the Emission of Fluorinated gases ,Solutions to take to combat the climate change
World,WLD,F-Gas,302.21,297.51,294.57,290.55,297.94,329.36,359.05,391.61,424.94,426.78,443.72,441.58,467.43,477.72,511.84,541.91,587.2,641.45,684.64,705.57,762.28,812.31,861.06,908.93,962.57,1000.64,1053.6,1094.87,1136.14,1177.41,,,
China,CHN,F-Gas,5.76,7.12,8.48,9.84,11.21,12.57,17.59,22.61,27.62,32.64,37.66,52.05,66.44,80.82,95.21,109.6,124.21,138.82,153.43,168.04,182.65,197.1,211.54,223.84,236.14,248.43,253.74,259.05,264.36,269.67,,,
United States,USA,F-Gas,99.39,90.15,94.74,94.45,97.57,115.29,124.38,130.98,145.82,142.42,143.65,130.28,137.81,127.23,134.13,135.45,137.6,148.45,149.44,144.31,153.08,159.37,154.58,154.04,159.16,161.05,160.92,165.29,169.66,174.03,,,
Saudi Arabia,SAU,F-Gas,0.41,0.81,1.2,1.59,1.98,2.37,3.83,5.29,6.75,8.21,9.67,10.34,11.01,11.69,12.36,13.03,15.46,17.89,20.32,22.75,25.18,30.5,35.82,41.14,46.46,51.78,59.05,66.33,73.6,80.88,,,
European Union (27),EUU,F-Gas,39.69,37.26,37.3,41.02,44.19,48.13,53.36,57.35,60.96,60.01,60.24,57.52,62.52,64.75,68.01,72,78.61,84.82,88.33,87.21,91.76,95.16,97.36,99.95,102.71,98.3,98.91,92.05,85.2,78.35,,,
Thailand,THA,F-Gas,0.27,0.46,0.65,0.83,1.02,1.21,1.97,2.73,3.48,4.24,5,5.37,5.74,6.11,6.47,6.84,8.03,9.21,10.4,11.59,12.77,16.28,19.78,23.29,26.8,30.3,38.54,46.77,55,63.24,,,
South Korea,KOR,F-Gas,1,1.74,2.48,3.22,3.99,4.76,7.04,9.89,11.61,13.6,15.71,16.96,18.51,20.34,22.38,23.94,26.74,29.47,31.95,33.88,36.77,37.79,39.2,40.46,41.78,42.94,45.86,48.79,51.71,54.64,,,
Japan,JPN,F-Gas,26.3,28.97,30.23,31.12,33.93,40.12,41.26,41.44,40.12,37.88,35.14,29.12,25.59,25.25,21.65,20.76,22.95,24.31,25.16,24.9,27.64,30.04,33.22,35.86,39.79,43.46,46.79,44.14,41.5,38.85,,,
Russia,RU,F-Gas,52.76,52,44.34,33.92,30.58,29.96,26.48,29.2,32.64,33.16,37.29,35.04,27.44,22.07,25.82,26.94,24.32,22.53,23.3,16.4,17.55,15.26,21.95,26.14,28.95,27.08,28.58,28.13,27.67,27.21,,,
Argentina,ARG,F-Gas,1.83,1.66,1.48,1.31,1.14,1.22,1.67,2.11,2.53,2.95,3.36,3.71,4.05,4.4,4.74,5.09,7.06,9.04,11.02,12.99,14.97,15.76,16.56,17.36,18.16,18.95,20.12,21.29,22.46,23.63,,,
India,IND,F-Gas,1.64,1.98,2.33,2.67,3.02,3.36,4.2,5.04,5.89,6.73,7.57,7.75,7.92,8.1,8.27,8.45,9.06,9.67,10.28,10.89,11.5,12.28,13.06,13.84,14.62,15.4,16.99,18.57,20.16,21.74,,,
