Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Reasons for the Emission of carbon Footprints,Solutions to take to combat the climate change
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,11092.675,11576.719,12713.489,12178.107,11840.743,10623.299,9933.903,12236.779,11378.701,14891.687,16655.514,14495.651,14055.611,15592.084,14132.618,10234.597,21862.654,11419.038,9724.884,10201.594,10498.621,9999.909,11180.683,5746.189,14348.971,16794.86,179.683,447.374,612.389,649.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,"burning of fossil fuels, industrial production, and land use change.", adoption of business solutions
Africa Eastern and Southern,AFE,CO2 emissions (kt),EN.ATM.CO2E.KT,118545.90130597,123758.903329795,128093.897814899,132810.332529783,144345.352398305,155803.780096242,157932.257312203,165066.040490079,174004.892685024,182939.984319516,191243.301798035,213550.946400649,217837.985316189,223290.233235483,226298.370018542,231987.508709502,240665.983328627,246129.511760858,250630.43642251,268619.094385202,280929.89416987,308901.806081339,329541.384584102,344021.803023552,365909.758291284,374516.789661811,385101.6709672,388106.04757928,404605.677834358,401747.947890452,304354.882668939,298735.435601561,295090,303600,312160,327430,340070,356590,365690,351070,355920,393150,404210.007127375,426379.996828735,457599.99126941,458459.994629025,465440.008163452,486179.996997118,519309.990122914,501940.011456609,529639.997445047,521760.009862482,543439.999304712,565430.012963712,587699.99242574,574029.994986952,578510.015696288,587509.992346167,590040.005281568,603030.016154051,435.13,by policies aimed at curbing African population growth or energy ...,strengthen policy framework
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,414.371,491.378,689.396,707.731,839.743,1008.425,1092.766,1283.45,1224.778,942.419,1672.152,1895.839,1532.806,1639.149,1917.841,2126.86,1987.514,2390.884,2159.863,2240.537,1760.16,1983.847,2101.191,2522.896,2830.924,3509.319,3142.619,3124.284,2867.594,2775.919,2380,2230,1390,1340,1290,1240,1180,1100,1040,810,760,730,1029.99997138977,1220.00002861023,1029.99997138977,1549.99995231628,1759.99999046326,1769.99998092651,3559.99994277954,4880.00011444092,7110.0001335144,8930.00030517578,8079.99992370605,5989.99977111816,4880.00011444092,5949.99980926514,5300.00019073486,4780.00020980835,6070.00017166138,6079.99992370605,11.95," Emissions from combustion of fossil fuels and cement production, deforestation and other land-use change", tree plantation helps stabilise a dangerous slope
Africa Western and Central,AFW,CO2 emissions (kt),EN.ATM.CO2E.KT,8760.463,9376.519,9710.216,11540.049,13985.938,19827.469,21246.598,21239.264,16527.169,23743.825,36398.642,48301.724,58059.611,69676.667,84392.338,69995.696,76900.657,74154.074,75045.155,98319.604,98913.658,96889.474,98755.977,91337.636,101154.195,104344.485,99977.088,89694.82,103820.104,82562.505,97925.7968877046,111479.470508094,122740.53316587,116094.991256618,107217.43603134,117296.844580631,135518.105893252,135548.40732559,130417.364783011,133013.187486639,141740,149460,141659.99802947,150990.000024438,150990.002661943,155280.000969768,148879.997208714,142610.002428293,151339.999720454,146719.997555017,165489.997714758,171780.000016093,177939.995750785,193299.99756068,201680.001884699,198410.002499818,206030.001297593,204740.000456572,211719.999298453,220740.000024438,0.35,CO2 output per person has been growing fast—much faster than its population,solutions provides a basis for increased investments by countries
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,550.05,454.708,1180.774,1151.438,1224.778,1188.108,1554.808,993.757,1672.152,2786.92,3582.659,3410.31,4506.743,4880.777,4873.443,4415.068,3285.632,3534.988,5412.492,5504.167,5346.486,5280.48,4649.756,5115.465,5009.122,4701.094,4660.757,5815.862,5130.133,5009.122,6560,6670,6880,9270,11300,12720,15440,16160,16770,17610,16200,15960,15689.9995803833,16760.0002288818,17450.0007629395,15810.0004196167,16559.9994659424,16969.9993133545,19280.0006866455,21149.9996185303,22799.9992370605,23870.0008392334,23870.0008392334,26959.9990844727,29629.9991607666,31649.9996185303,29760.0002288818,24250,23959.9990844727,25209.9990844727,22.51,"The energy sector serves as the predominant source of GHG emissions in Angola, with 49.4 percent of emissions from energy emissions, 37.4 percent from land-use change and forestry, 11.7 percent from agriculture, 0.9 percent from waste, and 0.6 percent from industrial processes.","1) promote renewable energy, 2) stabilize emissions in agricultural production, 3) reduce emissions from industrial processes, and 4) increase carbon sequestration in the forestry sector"
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,2024.184,2280.874,2464.224,2082.856,2016.85,2174.531,2552.232,2680.577,3072.946,3245.295,3744.007,4352.729,5643.513,5291.481,4345.395,4594.751,4950.45,5720.52,6494.257,7587.023,5170.47,7341.334,7308.331,7631.027,7825.378,7880.383,8056.399,7444.01,7326.666,8984.15,5980,4060,2220,2060,2070,1930,1940,1470,1790,2970,3170,3230,3759.99999046326,4070.00017166138,4250,4030.00020980835,4010.00022888184,4139.9998664856,4079.99992370605,4219.99979019165,4449.99980926514,4849.99990463257,4360.0001335144,4440.00005722046,4820.00017166138,4619.99988555908,4480.00001907349,5139.9998664856,5110.0001335144,4829.99992370605,5.1," The agricultural sector is one of Albania's most important economic sectors, and is responsible for 31 percent of greenhouse gas emissions, primarily due to enteric fermentation, manure in pastures and manure management","Albania remains committed to developing a long-term, low carbon development strategy as well as reducing its current greenhouse gas emissions"
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,410,410,410,410,430,450,470,490,510,520,520,529.999971389771,529.999971389771,560.000002384186,579.999983310699,550.000011920929,540.000021457672,540.000021457672,519.999980926514,519.999980926514,490.000009536743,490.000009536743,479.999989271164,460.00000834465,469.999998807907,469.999998807907,469.999998807907,490.000009536743,500,214.85,stemming from the burning of fossil fuels and the manufacture of cement,Reduce the annual unabsorbed emissions of greenhouse gases in relation to the Business as usual scenario
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,56173.1485507193,62766.1546425027,70773.5262869367,85340.7548305139,99992.697977505,120399.295874207,136165.519587577,147269.272097693,167837.914807147,209284.558504942,218963.053230178,249994.63487205,272540.960864399,317254.280673794,310080.114872896,307248.013486402,372905.625343901,394487.04813305,425176.125966152,455504.285807217,508356.674620711,496284.33607074,474544.551305493,506504.207784031,552524.934605397,583534.419227348,645509.194431409,646569.851387599,684720.356280567,695544.213205022,636128.993154742,638311.616152838,692897.307446233,746034.622187896,790632.55017664,814792.275713168,843629.05053133,884777.026039213,889715.587753798,901624.461623594,939191.72843414,991061.713693038,1024786.76941455,1055755.85910393,1112584.54413579,1188503.62074033,1251799.6594702,1303116.4412858,1408053.35044281,1455346.86825575,1541776.72627432,1574878.16518525,1683788.02430924,1713791.5569902,1771947.90817064,1818104.84341464,1838603.3674573,1858498.45151531,1836883.43594103,1886218.79695823,,,
United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001,11.001,18.335,22.002,18.335,22.002,25.669,916.75,1243.113,20524.199,15247.386,21184.259,23454.132,30630.451,31327.181,31070.491,39651.271,38785.859,44814.407,36607.661,36904.688,36857.017,36871.685,35342.546,46394.884,49926.205,47234.627,47693.002,48367.73,54487.953,55210,61560,59700,63620,70780,75170,78530,81440,83450,85680,84730,97200,99150.0015258789,103819.999694824,110010.00213623,116459.999084473,121559.997558594,131830.001831055,156050.003051758,157020.004272461,162789.993286133,165600.006103516,175589.996337891,184470.001220703,184759.994506836,195240.005493164,201080.001831055,197039.993286133,177119.995117188,188860.000610352,203.14,"burning of fossil fuels for energy production, and industrial production of materials such as cement","better technology and transition to more natural gas in power plants, emissions of carbon dioxide (CO2) per capita have decreased"
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,48815.104,51180.319,53695.881,50083.886,55727.399,58866.351,63138.406,65543.958,69082.613,77329.696,82734.854,88939.418,90156.862,94065.884,95569.354,94931.296,99786.404,100791.162,102639.33,110703.063,108737.551,102041.609,103424.068,105213.564,106522.683,100596.811,104212.473,114942.115,121473.042,117090.977,100320,105920,107930,110260,111910,112890,122550,126120,132670,134510,132270,125260,117470.001220703,127660.003662109,141380.004882813,145990.005493164,154899.993896484,162809.997558594,167229.995727539,156570.007324219,167220.001220703,176639.999389648,177960.006713867,183250,179600.006103516,185550.003051758,183160.003662109,179320.007324219,176899.993896484,168100.006103516,176.51,"the burning of fossil fuels for energy production, and industrial production of materials such as cement",Argentina has adopted a resolution on Energy Efficiency for the labeling of light duty vehicles that requires fuel consumption
