Country Name_x,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Reasons for the Emission of carbon Footprints,Solutions to take to combat the climate change,Country Name_y,Region,IncomeGroup,SpecialNotes
Aruba,ABW,11092.675,11576.719,12713.489,12178.107,11840.743,10623.299,9933.903,12236.779,11378.701,14891.687,16655.514,14495.651,14055.611,15592.084,14132.618,10234.597,21862.654,11419.038,9724.884,10201.594,10498.621,9999.909,11180.683,5746.189,14348.971,16794.86,179.683,447.374,612.389,649.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,"burning of fossil fuels, industrial production, and land use change.", adoption of business solutions,Aruba,Latin America & Caribbean,High income,
Afghanistan,AFG,414.371,491.378,689.396,707.731,839.743,1008.425,1092.766,1283.45,1224.778,942.419,1672.152,1895.839,1532.806,1639.149,1917.841,2126.86,1987.514,2390.884,2159.863,2240.537,1760.16,1983.847,2101.191,2522.896,2830.924,3509.319,3142.619,3124.284,2867.594,2775.919,2380.0,2230.0,1390.0,1340.0,1290.0,1240.0,1180.0,1100.0,1040.0,810.0,760.0,730.0,1029.99997138977,1220.00002861023,1029.99997138977,1549.99995231628,1759.99999046326,1769.99998092651,3559.99994277954,4880.00011444092,7110.0001335144,8930.00030517578,8079.99992370605,5989.99977111816,4880.00011444092,5949.99980926514,5300.00019073486,4780.00020980835,6070.00017166138,6079.99992370605,11.95," Emissions from combustion of fossil fuels and cement production, deforestation and other land-use change", tree plantation helps stabilise a dangerous slope,Afghanistan,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Angola,AGO,550.05,454.708,1180.774,1151.438,1224.778,1188.108,1554.808,993.757,1672.152,2786.92,3582.659,3410.31,4506.743,4880.777,4873.443,4415.068,3285.632,3534.988,5412.492,5504.167,5346.486,5280.48,4649.756,5115.465,5009.122,4701.094,4660.757,5815.862,5130.133,5009.122,6560.0,6670.0,6880.0,9270.0,11300.0,12720.0,15440.0,16160.0,16770.0,17610.0,16200.0,15960.0,15689.9995803833,16760.0002288818,17450.0007629395,15810.0004196167,16559.9994659424,16969.9993133545,19280.0006866455,21149.9996185303,22799.9992370605,23870.0008392334,23870.0008392334,26959.9990844727,29629.9991607666,31649.9996185303,29760.0002288818,24250.0,23959.9990844727,25209.9990844727,22.51,"The energy sector serves as the predominant source of GHG emissions in Angola, with 49.4 percent of emissions from energy emissions, 37.4 percent from land-use change and forestry, 11.7 percent from agriculture, 0.9 percent from waste, and 0.6 percent from industrial processes.","1) promote renewable energy, 2) stabilize emissions in agricultural production, 3) reduce emissions from industrial processes, and 4) increase carbon sequestration in the forestry sector",Angola,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Albania,ALB,2024.184,2280.874,2464.224,2082.856,2016.85,2174.531,2552.232,2680.577,3072.946,3245.295,3744.007,4352.729,5643.513,5291.481,4345.395,4594.751,4950.45,5720.52,6494.257,7587.023,5170.47,7341.334,7308.331,7631.027,7825.378,7880.383,8056.399,7444.01,7326.666,8984.15,5980.0,4060.0,2220.0,2060.0,2070.0,1930.0,1940.0,1470.0,1790.0,2970.0,3170.0,3230.0,3759.99999046326,4070.00017166138,4250.0,4030.00020980835,4010.00022888184,4139.9998664856,4079.99992370605,4219.99979019165,4449.99980926514,4849.99990463257,4360.0001335144,4440.00005722046,4820.00017166138,4619.99988555908,4480.00001907349,5139.9998664856,5110.0001335144,4829.99992370605,5.1," The agricultural sector is one of Albania's most important economic sectors, and is responsible for 31 percent of greenhouse gas emissions, primarily due to enteric fermentation, manure in pastures and manure management","Albania remains committed to developing a long-term, low carbon development strategy as well as reducing its current greenhouse gas emissions",Albania,Europe & Central Asia,Upper middle income,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0,410.0,410.0,410.0,410.0,430.0,450.0,470.0,490.0,510.0,520.0,520.0,529.999971389771,529.999971389771,560.000002384186,579.999983310699,550.000011920929,540.000021457672,540.000021457672,519.999980926514,519.999980926514,490.000009536743,490.000009536743,479.999989271164,460.00000834465,469.999998807907,469.999998807907,469.999998807907,490.000009536743,500.0,214.85,stemming from the burning of fossil fuels and the manufacture of cement,Reduce the annual unabsorbed emissions of greenhouse gases in relation to the Business as usual scenario,Andorra,Europe & Central Asia,High income,
United Arab Emirates,ARE,11.001,11.001,18.335,22.002,18.335,22.002,25.669,916.75,1243.113,20524.199,15247.386,21184.259,23454.132,30630.451,31327.181,31070.491,39651.271,38785.859,44814.407,36607.661,36904.688,36857.017,36871.685,35342.546,46394.884,49926.205,47234.627,47693.002,48367.73,54487.953,55210.0,61560.0,59700.0,63620.0,70780.0,75170.0,78530.0,81440.0,83450.0,85680.0,84730.0,97200.0,99150.0015258789,103819.999694824,110010.00213623,116459.999084473,121559.997558594,131830.001831055,156050.003051758,157020.004272461,162789.993286133,165600.006103516,175589.996337891,184470.001220703,184759.994506836,195240.005493164,201080.001831055,197039.993286133,177119.995117188,188860.000610352,203.14,"burning of fossil fuels for energy production, and industrial production of materials such as cement","better technology and transition to more natural gas in power plants, emissions of carbon dioxide (CO2) per capita have decreased",United Arab Emirates,Middle East & North Africa,High income,
Argentina,ARG,48815.104,51180.319,53695.881,50083.886,55727.399,58866.351,63138.406,65543.958,69082.613,77329.696,82734.854,88939.418,90156.862,94065.884,95569.354,94931.296,99786.404,100791.162,102639.33,110703.063,108737.551,102041.609,103424.068,105213.564,106522.683,100596.811,104212.473,114942.115,121473.042,117090.977,100320.0,105920.0,107930.0,110260.0,111910.0,112890.0,122550.0,126120.0,132670.0,134510.0,132270.0,125260.0,117470.001220703,127660.003662109,141380.004882813,145990.005493164,154899.993896484,162809.997558594,167229.995727539,156570.007324219,167220.001220703,176639.999389648,177960.006713867,183250.0,179600.006103516,185550.003051758,183160.003662109,179320.007324219,176899.993896484,168100.006103516,176.51,"the burning of fossil fuels for energy production, and industrial production of materials such as cement",Argentina has adopted a resolution on Energy Efficiency for the labeling of light duty vehicles that requires fuel consumption,Argentina,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19850.0,20690.0,10900.0,5040.0,2740.0,3510.0,2580.0,3340.0,3470.0,3110.0,3560.0,3600.0,3119.99988555908,3500.0,3759.99999046326,4460.00003814697,4489.99977111816,5199.99980926514,5690.00005722046,4510.00022888184,4340.00015258789,4940.00005722046,5719.99979019165,5500.0,5480.00001907349,5340.00015258789,5070.00017166138,5369.99988555908,5710.00003814697,6170.00007629395,5.82,"Carbon dioxide emissions from Araratcement and Hrazdan Cement,."," development of electrical transport, urban development (buildings and construction), IP (construction materials and chemical production), waste management, and afforestation, forest protection, and carbon storage in soil",Armenia,Europe & Central Asia,Upper middle income,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36," the burning of fossil fuels for energy production, and industrial production of materials such as cement","Enhance quality of life
 Promote healthy environment
 Promote environmental stewardship
 Support economic vitality
 Emphasize alternative energy resources",American Samoa,East Asia & Pacific,Upper middle income,
Antigua and Barbuda,ATG,36.67,47.671,102.676,84.341,91.675,150.347,348.365,564.718,990.09,1257.781,462.042,425.372,374.034,330.03,429.039,707.731,403.37,465.709,491.378,407.037,143.013,106.343,293.36,84.341,146.68,249.356,249.356,275.025,286.026,286.026,210.0,220.0,290.0,250.0,250.0,270.0,280.0,290.0,320.0,330.0,330.0,350.0,389.999985694885,409.999996423721,400.000005960464,409.999996423721,439.999997615814,460.00000834465,479.999989271164,1389.99998569489,490.000009536743,540.000021457672,699.999988079071,469.999998807907,479.999989271164,490.000009536743,500.0,500.0,509.999990463257,519.999980926514,0.46,"dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement.","Enhance the established enabling legal, policy and institutional environment for a low carbon emission development pathway to achieve poverty",Antigua and Barbuda,Latin America & Caribbean,High income,
